rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
1132	934	125	0.025	89.029	0.246	1223.8331	2041.7992	web:52%	 "  “ “ ... ♥ –
1133	1041	125	0.025	89.054	0.149	768.9893	1404.0636	math:56%	In  In  in in
1134	1497	125	0.025	89.08	0.019	915.6791	1475.9482	pile:52%	 game  trip  Sox  yards  season th
1135	1980	125	0.025	89.105	0.655	253.0547	468.2325	code:98%	 __ .__ ().__
1136	803	124	0.025	89.131	0.316	1097.9043	1628.3585	web:41%	 after  After  before After  since  to
1137	996	124	0.025	89.156	0.163	451.5176	1023.0683	code:85%	 KIND  LIABILITY  CONTRACT  TO  OTHERWISE  CLAIM
1138	1097	124	0.025	89.181	0.042	795.3222	1294.296	pile:34%	1 26 14 25 7 18
1139	1659	124	0.025	89.206	0.378	752.0938	1245.578	code:69%	 This  this This this "This  that
1140	1776	124	0.025	89.231	0.132	875.1544	1483.2618	web:33%	 variety  part  one  number  kinds  rid
1141	90	123	0.025	89.256	0.125	855.6953	1426.8536	math:89%	R 2 1 Q B n
1142	128	123	0.025	89.281	0.932	451.2695	921.3788	math:93%	^ |^
1143	162	123	0.025	89.306	0.066	1082.3145	1586.506	wiki:72%	,  of  with  and  are  hooked
1144	169	123	0.025	89.331	0.135	674.4648	1237.7314	wiki:65%	8 3 9 4 2 7
1145	539	123	0.025	89.357	0.119	1061.6017	1584.8666	wiki:54%	 of  to  with  from  -  and
1146	660	123	0.025	89.382	0.182	899.165	1744.6603	math:96%	 ${ {{ }{  { ({ ${
1147	878	123	0.025	89.407	0.04	854.5195	1361.9756	pile:100%	 surface  tissue  element  wall  strip  material
1148	941	123	0.025	89.432	0.081	987.3281	2038.7352	pile:27%	 ge Ge  Ne oe  Ge bo
1149	1801	123	0.025	89.457	0.064	1303.3008	1898.6996	web:89%	 of  and  for  market  with  emerging
1150	1843	123	0.025	89.482	0.447	1324.2863	1902.2773	pile:94%	 were  was  be  significantly  are  been
1151	19	122	0.025	89.506	0.697	927.4952	1750.481	pile:26%	 I I /I :I .I _I
1152	241	122	0.025	89.531	0.087	1100.7902	2152.3252	math:43%	 # ="  (  $ .\n –
1153	828	122	0.025	89.556	0.039	2430.9456	4779.0938	math:99%	Z q K v g W
1154	1034	122	0.025	89.581	0.548	980.7148	1464.9854	pile:80%	 to To  will  To  and  further
1155	1236	122	0.025	89.606	0.016	788.163	1524.4512	math:58%	 used  only  produced  determined  predicted  bound
1156	1260	122	0.025	89.631	0.217	846.6211	1482.2374	code:85%	 _ ._  ' (). ). ->
1157	265	121	0.025	89.655	0.252	1099.2423	1732.8163	pile:77%	 can  to  may  not  could  will
1158	515	121	0.025	89.68	0.107	1141.4618	1698.6875	math:98%	 the  of  with  in  radio  unidentified
1159	1353	121	0.025	89.704	0.052	1291.6659	2172.8506	math:99%	2 A }} pi _n theta
1160	1908	121	0.025	89.729	0.753	696.1787	1465.7783	wiki:36%	 most  more  highly  less ost  Most
1161	136	120	0.024	89.753	0.328	818.2246	2111.7998	wiki:30%	 T T {T
1162	221	120	0.024	89.778	0.413	1346.2627	2572.627	code:49%	 p p _p .p \xa0p  Disp
1163	422	120	0.024	89.802	0.912	825.6124	1406.9093	wiki:68%	, .,  when
1164	514	120	0.024	89.827	0.497	948.9785	1502.3232	wiki:72%	 the  The The
1165	761	120	0.024	89.851	0.244	942.6104	1790.9052	code:72%	 <  ' \n ='  (  "
1166	772	120	0.024	89.875	1.0	882.7344	1917.0233	math:51%	,
1167	928	120	0.024	89.9	0.584	450.7881	929.6401	wiki:79%	 known  to  described Known  Known  describe
1168	1428	120	0.024	89.924	0.521	965.1972	1461.7344	pile:100%	 the  The The
1169	1991	120	0.024	89.949	1.0	1098.2609	2214.9619	math:98%	{
1170	316	119	0.024	89.973	0.067	1099.7523	1858.8116	code:91%	Colors  Colors (utils  models _spec Version
1171	568	119	0.024	89.997	0.316	925.1924	1641.6105	code:84%	                                               
1172	598	119	0.024	90.021	0.788	757.0888	1087.6074	wiki:70%	. ).
1173	776	119	0.024	90.045	0.376	871.791	1613.5479	wiki:54%	 U  United U United  World -U
1174	869	119	0.024	90.07	0.653	506.1201	826.92	code:92%	   v v  GPLv
1175	1187	119	0.024	90.094	0.051	1083.922	1867.1835	web:87%	,  and  perfect  is  First cho
1176	1090	118	0.024	90.118	0.302	554.2051	782.0958	code:98%	 your at (at
1177	1303	118	0.024	90.142	0.077	805.3652	1651.6827	wiki:53%	1 20 3 19 16 2
