rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
671	1471	210	0.043	72.518	0.159	885.958	1481.6016	math:77%	   at \\ { ^  don
672	1542	210	0.043	72.561	0.24	782.9355	1684.0763	wiki:64%	 South  east  East  Eastern  south  Central
673	1966	210	0.043	72.603	0.484	906.6816	1713.0682	wiki:40%	 work  works  Work  working Working  werk
674	162	209	0.043	72.646	0.46	814.3105	1596.6991	code:90%	 # #  // // )#
675	753	207	0.042	72.688	0.249	1431.5333	2344.9746	wiki:28%	 self  itself  themselves  myself  yourself  himself
676	979	207	0.042	72.73	0.749	980.3642	1730.2343	wiki:59%	, ), ., ", ],  (),
677	1362	207	0.042	72.772	0.772	899.8438	1876.9902	code:94%	#  # //  ##  * ///
678	1973	207	0.042	72.814	0.166	1117.7218	2141.8535	pile:32%	0 5 3 2 1 4
679	755	206	0.042	72.856	0.638	1173.3037	1875.7568	math:33%	 is 's  was ’s  thats _is
680	913	206	0.042	72.898	0.037	764.1592	1465.0663	wiki:43%	ni n orno ax om iph
681	1889	206	0.042	72.94	0.377	1012.0381	1809.5747	wiki:37%	, . .,  in  namely  example
682	795	205	0.042	72.982	0.383	1244.2657	2201.4207	web:51%	 he  they  she  He  She  They
683	1942	205	0.042	73.024	0.308	1031.0762	2030.5303	math:81%	\n\n \n :\n\n :\n ,\n\n .\n\n
684	468	204	0.041	73.065	0.312	1095.7568	2186.1504	code:88%	\n .\n )\n ,\n :\n '\n
685	631	204	0.041	73.107	0.827	1051.9073	1606.3555	wiki:66%	 which which —which  που (which  whom
686	1033	204	0.041	73.148	0.304	915.5977	1406.2892	code:73%	 test  Test Test test  tests Tests
687	1298	204	0.041	73.19	0.955	1363.6182	2155.8789	wiki:33%	 of Of
688	181	203	0.041	73.231	0.22	686.2939	1361.3756	code:63%	_id  id id  ID ID .id
689	674	203	0.041	73.272	0.114	1658.8104	2359.0974	web:33%	 sell  send  share  sending  teach  sold
690	1080	203	0.041	73.313	0.569	1287.9473	2031.4091	wiki:52%	's ’s ' ) ’ ‘s
691	1355	203	0.041	73.355	0.943	1324.6163	1824.8877	web:43%	 and  y and
692	1707	203	0.041	73.396	0.096	1125.7557	1780.7148	wiki:48%	 London  Paris  Berlin  Boston  Athens  Rome
693	610	202	0.041	73.437	0.514	1260.6094	2183.2949	math:35%	 can  could  you  to leh  may
694	1500	202	0.041	73.478	0.712	911.1749	1987.1525	code:37%	 as  As as #     As
695	1743	202	0.041	73.519	0.446	968.7247	1952.8163	wiki:30%	 use  usage  uses use  USE Usage
696	31	201	0.041	73.56	0.058	1617.1582	2487.0911	web:36%	 make  made  a  making  Make  the
697	830	201	0.041	73.601	0.348	1004.3203	1708.7596	math:40%	 so So  So so  que  therefore
698	1769	201	0.041	73.642	0.128	1203.8398	1971.9208	code:64%	 login .getLogger  logic  log arith _login
699	127	200	0.041	73.683	0.402	999.2529	1648.371	wiki:90%	 term  word  terms  name  words  title
700	258	200	0.041	73.723	0.467	743.9483	1156.5038	code:95%	. ; "); ).
701	494	200	0.041	73.764	0.442	1027.4061	1702.0333	code:70%	                          \t                
702	574	200	0.041	73.805	0.103	1277.8252	2340.0481	wiki:54%	 common  popular  important  influential  populous  leading
703	107	199	0.04	73.845	0.258	1540.0236	2468.9133	math:29%	 etc  again  respectively  too  like  all
704	1407	199	0.04	73.886	0.023	923.6641	1870.1874	code:36%	000 020 979 576 800 345
705	1423	199	0.04	73.926	0.016	1355.7772	2115.1035	code:81%	 main _args _path _file _fn map
706	1665	199	0.04	73.967	0.063	1443.6788	2259.8203	math:30%	 print  plot  post  prepare  parse  processing
707	1970	199	0.04	74.007	0.906	734.3398	1358.5145	code:92%	 in  enumerate  of in ',
708	330	198	0.04	74.047	0.954	663.0214	1152.9093	wiki:59%	 in  from
709	1644	198	0.04	74.088	0.237	1207.41	2319.5139	code:69%	    \n property classmethod  public  static
710	253	197	0.04	74.128	0.49	1169.3711	1642.589	wiki:34%	" ” ' ’ ` )"
711	925	197	0.04	74.168	0.776	1064.834	1768.83	wiki:29%	 one  One One  particular  uno 1
712	21	196	0.04	74.208	0.089	508.1441	1476.4844	wiki:29%	 fr  fraction  Franklin  Fr  frame  Frank
713	702	196	0.04	74.247	0.344	1082.8994	1885.6444	pile:40%	 show  shown  shows  showed  showing Show
714	1103	196	0.04	74.287	0.897	937.6982	1467.7772	web:62%	. ”. ] ).  . .\n
715	1514	196	0.04	74.327	0.262	1358.5682	2182.0225	wiki:35%	.e  especially  is  particularly  particular  namely
716	33	195	0.04	74.367	0.139	652.4932	1480.037	wiki:31%	 Mark  Mar  market  marketing Mar .mark
717	50	195	0.04	74.407	0.281	921.9682	1432.8145	math:78%	 equation  equations  equ  Equ  equivalence  equality
718	690	195	0.04	74.446	0.17	940.8486	2020.041	wiki:45%	 father  mother  brother  son  sister  wife
719	1448	195	0.04	74.486	1.0	1164.9913	2142.7683	pile:31%	 to
720	1502	195	0.04	74.526	0.876	1261.0391	2225.7263	web:27%	 more more  More
721	415	194	0.039	74.565	0.067	1252.9611	2156.7026	math:96%	 PM 201  Oct  AM  Feb  Aug
722	439	194	0.039	74.604	0.048	529.6992	991.1368	math:70%	1 27 14 3 19 12
723	527	194	0.039	74.644	0.817	1079.625	1697.7909	web:36%	 from from From  a  From _from
724	741	194	0.039	74.683	0.51	775.9619	1152.4139	wiki:69%	 He  She He  he  They She
725	304	193	0.039	74.723	0.183	1290.6064	2327.7871	math:46%	 equal  equivalent  identical  analogous  Equal  similar
726	1819	193	0.039	74.762	0.095	1141.8575	1934.1669	pile:28%	500 600 400 700 800 300
727	839	192	0.039	74.801	0.239	1446.4609	2503.0508	code:77%	 not  and  (  elif  or  while
728	1272	192	0.039	74.84	0.437	1437.1212	2297.3076	web:51%	 are  is ’s  was re 're
