rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
122	1989	641	0.13	21.872	0.061	1151.0221	1699.3448	wiki:40%	es  electrons  cells tons  proteins ides
123	1847	638	0.13	22.002	0.035	1343.9794	2186.6035	wiki:32%	ed  bordered  commented  attached  connected  listed
124	758	636	0.129	22.131	0.017	1060.5492	1814.9341	code:89%	_dict _url _index _form _dim _path
125	1453	636	0.129	22.261	0.039	637.8682	1529.9335	pile:27%	 MD  AP  NC  CN  AR  AS
126	1113	633	0.129	22.389	0.023	550.8379	1179.8387	wiki:51%	am h le ul al ag
127	82	632	0.129	22.518	0.099	823.6646	1914.0394	math:36%	 C C S  X  T X
128	917	632	0.129	22.646	1.0	1074.4873	1798.7129	wiki:47%	 of
129	156	630	0.128	22.775	1.0	694.3702	1313.1245	wiki:66%	 the
130	885	630	0.128	22.903	0.382	880.3848	1697.3273	math:95%	 \\ \\ math {\\ }\\ (\\
131	1429	630	0.128	23.031	0.034	991.0699	1911.0736	code:60%	password stop  frame  select -type _data
132	136	628	0.128	23.159	0.043	1115.5272	1780.8916	wiki:30%	 model  algorithm  process  paper  device  function
133	602	628	0.128	23.286	0.044	1166.4126	1776.7545	code:63%	mf Rest ystone ask ro lets
134	690	628	0.128	23.414	0.029	1119.4449	2014.1046	wiki:32%	eller  architect  member ist ers  patron
135	1146	627	0.128	23.542	1.0	1057.8397	1632.1309	math:41%	 of
136	594	622	0.127	23.668	0.132	1023.6475	1650.355	math:76%	 function  space  relation  map  equation  field
137	138	620	0.126	23.794	0.158	1071.561	2166.8535	math:48%	) .  » ; • #
138	1688	619	0.126	23.92	0.04	1018.0518	1895.5742	pile:24%	ed  induced ated  ordered  integrated  applied
139	304	617	0.126	24.046	1.0	596.663	1019.0459	code:91%	 License
140	1041	616	0.125	24.171	0.724	664.0117	1133.0577	code:95%	):\n ():\n ):\r\n ):\n\n '):\n
141	1294	609	0.124	24.295	0.014	1209.7528	1745.5947	pile:41%	 was  were
142	1656	609	0.124	24.419	0.09	1389.333	2129.0225	wiki:32%	 describe  describes  representing  represent  discuss  represents
143	60	606	0.123	24.542	0.007	1180.6846	1906.1959	code:85%	Settings DOCUMENT LOOP IME _credentials _LABEL
144	1001	606	0.123	24.665	0.955	1097.8037	1834.8516	web:29%	 with —with
145	1809	604	0.123	24.788	0.027	1003.5283	1650.1024	math:30%	icht   opr \\ _ .
146	1066	603	0.123	24.911	1.0	818.4815	1324.9209	wiki:43%	 the
147	1831	602	0.122	25.033	0.111	990.4013	1672.9012	wiki:64%	7 3 2 6 4 8
148	630	600	0.122	25.155	0.859	1056.8457	1765.7433	web:40%	 and  y
149	78	598	0.122	25.277	0.955	1019.5352	1793.2384	wiki:54%	 ( (
150	380	596	0.121	25.398	0.955	1042.8721	1716.0643	web:30%	 for  For
151	1478	594	0.121	25.519	0.049	1208.2472	1906.2393	web:37%	ers  members  experts ists  artists  actors
152	1765	594	0.121	25.64	0.037	984.8154	1715.7841	pile:33%	 electron  laser ide on  ion  liver
153	1557	593	0.121	25.76	0.955	1019.4297	1756.7822	wiki:41%	 by  BY
154	1859	593	0.121	25.881	0.754	888.3188	1609.0068	wiki:36%	, ), )), ",
155	1426	591	0.12	26.001	0.071	1091.1598	2079.9941	code:22%	 hip  Holy  Health  Heritage  hack  host
156	1839	591	0.12	26.122	1.0	1053.9061	1742.9669	wiki:35%	 of
157	1397	588	0.12	26.241	0.184	946.0781	1447.8436	code:62%	\n )\n >\n '\n ()\n "\n
158	20	587	0.119	26.361	0.073	1135.5371	1820.5981	code:82%	file name password _id .password .url
159	1929	585	0.119	26.48	1.0	394.5	736.5673	code:90%	\n
160	1254	583	0.119	26.598	0.125	1310.4541	2072.8154	wiki:32%	 defined  described  measured  observed  discussed  characterized
161	1524	581	0.118	26.716	0.08	897.4033	1582.1678	wiki:58%	 theory ology  astronomy  architecture ics  physics
162	599	578	0.118	26.834	0.061	705.4247	1397.8243	wiki:21%	 tr  fl  Tr  di  sl  se
163	670	577	0.117	26.951	0.117	878.9033	1577.8418	code:93%	.core .ops .lib .model core .data
164	307	575	0.117	27.068	0.135	1393.9161	2113.6523	code:86%	_argument .append _dependency .compile .Column _option
165	427	575	0.117	27.185	0.074	1028.1632	1764.7284	math:93%	A R  x x n  a
166	1150	575	0.117	27.302	0.955	840.6768	1507.1464	wiki:50%	 and and
167	1341	575	0.117	27.419	0.063	1394.6466	2318.3044	wiki:28%	 fixed  advanced  Advanced  autogenerated  closed  mixed
168	1791	575	0.117	27.536	0.055	1030.976	1831.6039	code:53%	f p  sph ss m fs
169	1577	573	0.117	27.653	0.02	1249.5018	1835.9962	math:32%	 alloy  signal  affidavit  coil  atom  orbital
170	1760	573	0.117	27.769	0.069	1234.8126	1816.4503	pile:33%	ization ation  production  multiplication  removal  estimation
171	250	571	0.116	27.885	0.051	1181.8521	1803.1797	web:38%	 fluid  air  ice  oil  wine  wood
172	1637	571	0.116	28.001	0.09	881.9258	1571.9305	wiki:77%	 Azerbaijan  Armenia  Angola  Egypt  Africa  Turkey
173	271	570	0.116	28.117	0.943	1206.4082	1895.3693	wiki:26%	 to to  unto
174	793	570	0.116	28.233	0.114	1120.5615	1741.3575	math:94%	x (x theta _n θ  x
175	860	568	0.116	28.349	0.132	1099.4803	1728.7227	math:54%	 mass  area  temperature  rate  distance  radius
176	1330	568	0.116	28.464	0.955	1161.0254	1982.9442	web:36%	 to to
177	414	566	0.115	28.58	0.049	1242.3759	2249.3276	code:42%	package (r  r  u acro option
178	988	566	0.115	28.695	0.016	845.4053	1692.6357	code:81%	.data at forum  plot .admin .rule
179	1650	566	0.115	28.81	1.0	1060.0732	1605.2968	math:34%	 (
180	479	561	0.114	28.924	1.0	1051.244	1724.1046	wiki:32%	 by
181	1934	558	0.114	29.037	0.399	1095.5614	1665.1825	math:91%	$ }$ )$ $$ ) ]$
182	1434	553	0.112	29.15	0.051	1090.1478	1772.1112	code:43%	 Sphinx inx  TensorFlow epad ekyll ly
183	1063	551	0.112	29.262	0.778	688.959	1148.1906	pile:77%	. ). }.
184	511	550	0.112	29.374	0.823	1065.6669	1906.7969	math:38%	: ):  : .:
185	581	549	0.112	29.486	0.069	1108.7223	1858.8491	wiki:28%	ations  applications  measurements  calculations  definitions  operations
186	44	544	0.111	29.596	0.489	1077.285	1782.1143	math:48%	\n \n\n )\n .\n )\n\n $\n
187	1264	543	0.11	29.707	0.813	1155.2598	1958.1503	wiki:45%	 or or  OR  ou _or Or
188	582	540	0.11	29.817	0.381	972.1709	1723.3143	math:96%	} ) right }} }) ]
189	875	540	0.11	29.926	1.0	1073.7441	1692.8241	web:27%	 to
190	1321	538	0.109	30.036	0.101	1161.1655	1905.4755	code:52%	/ ex share /js static data
191	291	535	0.109	30.145	0.071	1048.7557	1829.5304	wiki:41%	ative ic atic al oscopic otic
192	491	535	0.109	30.253	1.0	1163.0498	1688.0088	web:29%	 in
193	1506	534	0.109	30.362	0.015	957.0576	1561.4141	wiki:60%	ley son an ov et a
194	1763	534	0.109	30.471	0.022	1342.395	2072.3989	code:96%	_function _ops _literals defs  env  db
