rank	cluster_id	n_assigned	usage_pct	cum_pct	monosemanticity	dist_min	dist_p50	domain	top_tokens
366	545	327	0.067	40.048	0.081	1247.7352	2060.2151	wiki:63%	 University  Republic  Institute  Church  Academy  Council
367	989	327	0.067	40.114	0.943	1021.0667	2095.7036	wiki:65%	 the  The _the
368	1898	327	0.067	40.181	0.401	1827.0492	3047.9326	web:42%	 their  his  our  her  its  your
369	358	326	0.066	40.247	0.067	1638.0409	2383.144	wiki:80%	 film  company  novel  element  language  organization
370	1086	326	0.066	40.314	1.0	793.3021	1285.1354	code:99%	 import
371	1246	326	0.066	40.38	0.414	1008.3229	1782.9773	code:96%	\n .\n .\n\n \n\n .\r\n ,\n
372	222	325	0.066	40.446	0.022	2257.4736	3349.365	math:32%	ges  failed ays  fail  fall  interact
373	1261	325	0.066	40.512	0.048	1533.2305	2468.3325	code:82%	 data  res  m  url  response  value
374	1368	325	0.066	40.578	0.017	1799.178	3009.2322	web:54%	 work  decision  task  skills  career  experience
375	769	324	0.066	40.644	0.405	1456.4634	2194.1641	code:69%	                        \t   \n
376	1600	324	0.066	40.71	1.0	833.4998	1374.4674	code:99%	 import
377	1952	324	0.066	40.776	0.129	1124.2555	1977.2526	math:85%	  . - 10 / \xa0
378	1258	323	0.066	40.842	0.311	1766.0488	2621.0908	math:98%	) right } 2 _n &
379	21	322	0.065	40.907	0.531	975.6076	1638.6211	code:99%	 self \tself
380	764	322	0.065	40.973	0.079	1186.3978	2056.7485	math:97%	  12 AT  Physics  for  to
381	151	321	0.065	41.038	0.955	1720.3713	3032.8721	web:56%	, ',
382	1480	321	0.065	41.103	0.035	765.64	1653.4729	math:77%	–  Le  Sch sch n ö
383	396	320	0.065	41.168	0.022	888.2173	2399.5037	code:98%	 url  hex  is  parse  fl  mark
384	517	320	0.065	41.233	0.533	1943.5439	2947.4614	wiki:35%	" ” ' ’ ` ,"
385	280	319	0.065	41.298	0.208	1240.1425	2402.1565	math:33%	 single  multi  multiple  double  Single  mult
386	1363	319	0.065	41.363	0.302	987.363	2019.1276	code:94%	                                        \t \t\t
387	770	318	0.065	41.428	0.113	933.6098	1567.9852	pile:26%	S F C B M G
388	807	318	0.065	41.493	0.525	1037.5281	1851.6356	code:92%	#  #  // // ##
389	206	317	0.064	41.557	0.834	1597.4236	2629.8879	wiki:43%	 used  employed  use  utilized  Used used
390	913	317	0.064	41.622	0.048	2311.4675	3033.6074	pile:38%	 quality  performance  rates  stability idity  efficiency
391	1088	317	0.064	41.686	0.899	1491.5795	2537.1619	math:40%	 a  A  an A
392	1537	317	0.064	41.751	1.0	417.7231	930.8906	code:100%	import
393	105	316	0.064	41.815	0.047	1579.4661	2556.7812	wiki:94%	 Empire ians  Republic ia ans ites
394	207	316	0.064	41.879	0.634	1437.5178	2163.5015	wiki:66%	 It It  it  They They
395	531	316	0.064	41.943	0.027	2036.9945	2965.2158	code:96%	 OrderedDict  six  exists _equal _ops  dirname
396	1102	316	0.064	42.008	0.864	1633.7651	2608.5564	wiki:54%	 in  to  of ,  into
397	1766	316	0.064	42.072	0.242	1033.0078	1941.4512	wiki:97%	 the  to ,  and  by  on
398	260	315	0.064	42.136	0.371	1168.9028	2137.3159	math:97%	$$ $ }$ )$ .$ *
399	325	315	0.064	42.2	0.805	1776.9371	2798.6321	wiki:32%	 it  they  It 它 it
400	344	315	0.064	42.264	0.032	1512.635	2549.1987	code:66%	Method Location Policy <Category _order Client
401	1271	315	0.064	42.328	0.03	1656.0734	2427.6721	pile:43%	D M I MA CT C
402	1474	315	0.064	42.392	0.166	1348.3683	2429.2952	math:52%	2 3 4 1 6 5
403	1941	315	0.064	42.456	0.699	920.3701	1572.8687	wiki:97%	\n )\n "\n .\n
404	582	314	0.064	42.52	0.475	1599.3796	2366.3726	code:89%	 = ': ":  : : ',
405	780	314	0.064	42.584	0.471	1423.9095	2355.8027	wiki:75%	 is  are  was
