[seed] seed=42 deterministic=True (cudnn.deterministic, tf32 off, CUBLAS_WORKSPACE_CONFIG set)
[train-e2e] Device: cuda
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/exouser/.netrc.
wandb: Currently logged in as: muhammadumairhaider (multifacetednlp) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: Tracking run with wandb version 0.28.0
wandb: Run data is saved locally in /home/exouser/RepresentationAE/GeoAE/wandb/run-20260825_203543-6m6z5i07
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run geosep_e2e_seed42
wandb: ⭐️ View project at https://wandb.ai/multifacetednlp/geosep-general-e2e
wandb: 🚀 View run at https://wandb.ai/multifacetednlp/geosep-general-e2e/runs/6m6z5i07
[train-e2e] wandb initialised
[train-e2e] Loading frozen LLM: meta-llama/Llama-3.2-3B
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 3194.32it/s]
[train-e2e] target layer 27 of 28 (is_last=True); head-only (lm_head∘norm)
[train-e2e] teacher_mode=onfly — head(norm(x)) computed in-loop, no cache
[train-e2e] Train docs: 9,333,919  Val docs: 491,259
[train-e2e] Encoder=gelu latent_dim=3072 K=2000 metric=euclidean sinkhorn=on
[train-e2e] lr=0.0001 grad_clip=1 lambda_mse=0.1 (MSE anchor ON)
[train-e2e] logits sanity (onfly): head path OK, logits shape=(2048, 128256) (teacher = same path, no cache)

  step   3900 | loss 0.2127 | kl 0.1646 | val_kl 0.1710 | clus 0.5878 | sep 1.0000 | mse(diag) 0.4804 | eff_K 2000/2000 | dying 0
  step   4000 | loss 0.2022 | kl 0.1563 | val_kl 0.1687 | clus 0.5611 | sep 1.0000 | mse(diag) 0.4588 | eff_K 2000/2000 | dying 0
  step   4100 | loss 0.2120 | kl 0.1656 | val_kl 0.1647 | clus 0.5711 | sep 1.0000 | mse(diag) 0.4648 | eff_K 2000/2000 | dying 0
  step   4200 | loss 0.1962 | kl 0.1508 | val_kl 0.1627 | clus 0.5686 | sep 0.3679 | mse(diag) 0.4545 | eff_K 2000/2000 | dying 0
  step   4300 | loss 0.1903 | kl 0.1457 | val_kl 0.1580 | clus 0.5692 | sep 1.0000 | mse(diag) 0.4458 | eff_K 2000/2000 | dying 0
  step   4400 | loss 0.1869 | kl 0.1429 | val_kl 0.1573 | clus 0.5560 | sep 0.3679 | mse(diag) 0.4405 | eff_K 2000/2000 | dying 0
  step   4500 | loss 0.1850 | kl 0.1410 | val_kl 0.1547 | clus 0.5699 | sep 0.3679 | mse(diag) 0.4398 | eff_K 2000/2000 | dying 0
[train-e2e] Saved step_0004557.pt  val_kl=0.15366  val_mse=0.44449
[train-e2e] New best val_kl=0.15366 -> best_val.pt
[train-e2e] Epoch 1 done in 82.8 min

[train-e2e] Epoch 2/50 | tau=1.000 | λ_c=0.000 λ_s=0.0000 | λ_var=0.000 λ_cov=0.0000
  step   4600 | loss 0.1596 | kl 0.1161 | val_kl 0.1499 | clus 0.5819 | sep 0.3679 | mse(diag) 0.4349 | eff_K 2000/2000 | dying 0
  step   4700 | loss 0.1575 | kl 0.1147 | val_kl 0.1459 | clus 0.5743 | sep 1.0000 | mse(diag) 0.4284 | eff_K 2000/2000 | dying 0
  step   4800 | loss 0.1531 | kl 0.1107 | val_kl 0.1441 | clus 0.5635 | sep 1.0000 | mse(diag) 0.4241 | eff_K 2000/2000 | dying 0
  step   4900 | loss 0.1576 | kl 0.1156 | val_kl 0.1441 | clus 0.5593 | sep 1.0000 | mse(diag) 0.4194 | eff_K 2000/2000 | dying 0
  step   5000 | loss 0.1576 | kl 0.1162 | val_kl 0.1406 | clus 0.5825 | sep 1.0000 | mse(diag) 0.4145 | eff_K 2000/2000 | dying 0
  step   5100 | loss 0.1523 | kl 0.1108 | val_kl 0.1369 | clus 0.5844 | sep 1.0000 | mse(diag) 0.4154 | eff_K 2000/2000 | dying 0
  step   5200 | loss 0.1576 | kl 0.1160 | val_kl 0.1397 | clus 0.5950 | sep 0.3679 | mse(diag) 0.4158 | eff_K 2000/2000 | dying 0
  step   5300 | loss 0.1520 | kl 0.1103 | val_kl 0.1360 | clus 0.5982 | sep 1.0000 | mse(diag) 0.4166 | eff_K 2000/2000 | dying 0
  step   5400 | loss 0.1519 | kl 0.1116 | val_kl 0.1395 | clus 0.6021 | sep 1.0000 | mse(diag) 0.4035 | eff_K 2000/2000 | dying 0
  step   5500 | loss 0.1516 | kl 0.1113 | val_kl 0.1330 | clus 0.5984 | sep 1.0000 | mse(diag) 0.4033 | eff_K 2000/2000 | dying 0
  step   5600 | loss 0.1482 | kl 0.1083 | val_kl 0.1324 | clus 0.6001 | sep 1.0000 | mse(diag) 0.3991 | eff_K 2000/2000 | dying 0
  step   5700 | loss 0.1475 | kl 0.1079 | val_kl 0.1313 | clus 0.5964 | sep 1.0000 | mse(diag) 0.3959 | eff_K 2000/2000 | dying 0
  step   5800 | loss 0.1430 | kl 0.1032 | val_kl 0.1287 | clus 0.5995 | sep 1.0000 | mse(diag) 0.3980 | eff_K 2000/2000 | dying 0
  step   5900 | loss 0.1410 | kl 0.1020 | val_kl 0.1278 | clus 0.5900 | sep 1.0000 | mse(diag) 0.3903 | eff_K 2000/2000 | dying 0
  step   6000 | loss 0.1412 | kl 0.1025 | val_kl 0.1294 | clus 0.6053 | sep 1.0000 | mse(diag) 0.3871 | eff_K 2000/2000 | dying 0
  step   6100 | loss 0.1415 | kl 0.1032 | val_kl 0.1256 | clus 0.6101 | sep 0.3679 | mse(diag) 0.3835 | eff_K 2000/2000 | dying 0
  step   6200 | loss 0.1441 | kl 0.1057 | val_kl 0.1324 | clus 0.6322 | sep 0.3679 | mse(diag) 0.3849 | eff_K 2000/2000 | dying 0
  step   6300 | loss 0.1552 | kl 0.1172 | val_kl 0.1285 | clus 0.6288 | sep 1.0000 | mse(diag) 0.3803 | eff_K 2000/2000 | dying 0
  step   6400 | loss 0.1420 | kl 0.1036 | val_kl 0.1251 | clus 0.6299 | sep 1.0000 | mse(diag) 0.3836 | eff_K 2000/2000 | dying 0
  step   6500 | loss 0.1430 | kl 0.1051 | val_kl 0.1200 | clus 0.6286 | sep 1.0000 | mse(diag) 0.3793 | eff_K 2000/2000 | dying 0
  step   6600 | loss 0.1367 | kl 0.0998 | val_kl 0.1193 | clus 0.6063 | sep 0.3679 | mse(diag) 0.3687 | eff_K 2000/2000 | dying 0
  step   6700 | loss 0.1304 | kl 0.0930 | val_kl 0.1174 | clus 0.6103 | sep 0.3679 | mse(diag) 0.3742 | eff_K 2000/2000 | dying 0
  step   6800 | loss 0.1337 | kl 0.0964 | val_kl 0.1155 | clus 0.6147 | sep 0.3679 | mse(diag) 0.3726 | eff_K 2000/2000 | dying 0
  step   6900 | loss 0.1306 | kl 0.0940 | val_kl 0.1166 | clus 0.6213 | sep 1.0000 | mse(diag) 0.3657 | eff_K 2000/2000 | dying 0
  step   7000 | loss 0.1357 | kl 0.0989 | val_kl 0.1160 | clus 0.6342 | sep 1.0000 | mse(diag) 0.3677 | eff_K 2000/2000 | dying 0
  step   7100 | loss 0.1318 | kl 0.0956 | val_kl 0.1143 | clus 0.6507 | sep 0.3679 | mse(diag) 0.3623 | eff_K 2000/2000 | dying 0
  step   7200 | loss 0.1314 | kl 0.0954 | val_kl 0.1137 | clus 0.6204 | sep 0.3679 | mse(diag) 0.3600 | eff_K 2000/2000 | dying 0
  step   7300 | loss 0.1326 | kl 0.0967 | val_kl 0.1132 | clus 0.6395 | sep 0.3679 | mse(diag) 0.3589 | eff_K 2000/2000 | dying 0
  step   7400 | loss 0.1315 | kl 0.0960 | val_kl 0.1131 | clus 0.6430 | sep 0.3679 | mse(diag) 0.3552 | eff_K 2000/2000 | dying 0
  step   7500 | loss 0.1246 | kl 0.0889 | val_kl 0.1123 | clus 0.6383 | sep 1.0000 | mse(diag) 0.3570 | eff_K 2000/2000 | dying 0
  step   7600 | loss 0.1315 | kl 0.0961 | val_kl 0.1106 | clus 0.6432 | sep 1.0000 | mse(diag) 0.3546 | eff_K 2000/2000 | dying 0
  step   7700 | loss 0.1241 | kl 0.0886 | val_kl 0.1109 | clus 0.6571 | sep 1.0000 | mse(diag) 0.3549 | eff_K 2000/2000 | dying 0
  step   7800 | loss 0.1268 | kl 0.0917 | val_kl 0.1090 | clus 0.6407 | sep 1.0000 | mse(diag) 0.3512 | eff_K 2000/2000 | dying 0
